2025-11-10T07:48:13.660Z: 187  [WARN] Unknown tokenizer class "CodeSageTokenizer", attempting to construct from base class.
2025-11-10T07:48:13.783Z: 187  [INFO] Using number of intra-op threads: 1
2025-11-10T07:48:14.553Z: 187  [INFO] Embedding provider initialized.
2025-11-10T07:48:14.601Z: 187  [INFO] start building tree index for /home/sagemaker-user
2025-11-10T10:17:45.026Z: 187  [INFO] Found 2 symbols in this workspace among folders: /home/sagemaker-user
2025-11-10T10:30:37.018Z: 187  [INFO] Found 118 symbols in this workspace among folders: /home/sagemaker-user
2025-11-10T10:39:29.705Z: 187  [INFO] Found 118 symbols in this workspace among folders: /home/sagemaker-user
2025-11-14T05:37:41.020Z: 187  [INFO] Found 118 symbols in this workspace among folders: /home/sagemaker-user
2025-11-14T05:48:46.899Z: 187  [INFO] Found 118 symbols in this workspace among folders: /home/sagemaker-user
2025-11-14T05:55:58.518Z: 187  [INFO] Found 121 symbols in this workspace among folders: /home/sagemaker-user
2025-11-14T07:05:02.810Z: 187  [INFO] Found 118 symbols in this workspace among folders: /home/sagemaker-user
2025-11-14T07:59:13.869Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-14T08:29:13.813Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-14T09:36:22.635Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-14T09:36:24.082Z: 187  [INFO] Found 0 symbols in this workspace among folders: /home/sagemaker-user
2025-11-14T09:36:24.653Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-14T09:37:46.806Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-14T10:07:46.674Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-17T06:51:06.981Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-17T06:51:08.220Z: 187  [INFO] Found 0 symbols in this workspace among folders: /home/sagemaker-user
2025-11-17T06:51:09.005Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-17T07:07:50.819Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-17T07:37:50.708Z: 187  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-17T08:09:57.653Z: 188  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
2025-11-17T08:09:58.750Z: 188  [INFO] Found 0 symbols in this workspace among folders: /home/sagemaker-user
2025-11-17T08:09:59.673Z: 188  [ERROR] Error listing files and folders: Error: EACCES: permission denied, scandir '/home/sagemaker-user/.workflows_setup/db-data'
